TRIFID,PRIMARY NAICS CODE,CAS NUMBER,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
97501MRBLD680SO,327991,67641,300.0,Pounds,2.0,NO,2.0,2.0,2.0,2.0,2.0,2.0,NO,0.0,2.0,0.0,NO,R11
45750VNGRD1409G,325510,108101,1610.0,Pounds,54.4287,NO,32.8432,56.9411,59.4535,73.0063,97.1042,86.5591,NO,16.0652,66.8138,0.2112,NO,R11
45750VNGRD1409G,325510,71363,280.0,Pounds,17.316,NO,0.0,18.8994,20.4828,36.6565,63.2921,52.8302,NO,17.7571,30.2097,0.5312,NO,R11
45750VNGRD1409G,325510,1330207,830.0,Pounds,14.3922,NO,0.0,15.468,16.5438,34.5377,63.1423,52.5316,NO,19.0697,27.8225,0.6288,NO,R11
98126WYCKF2801S,321114,7440382,19.0,Pounds,6.3545,NO,0.0,6.6901,7.0632,55.8824,100.0,79.1667,NO,49.1922,31.7513,0.827,NO,R99
98126WYCKF2801S,321114,7440666,19.0,Pounds,6.2706,NO,0.0,6.6437,7.0632,50.0,100.0,79.1667,NO,43.3563,30.3418,0.827,NO,R99
97013JHNSN800NW,335911,7664939,46163.0,Pounds,89.7886,NO,82.7534,90.0079,90.2273,94.8443,100.0,99.4614,NO,4.8364,93.1591,0.0479,NO,R99
24920JDYFNBOX97,321114,N020,3.0,Pounds,10.7143,NO,10.7143,10.7143,10.7143,10.7143,10.7143,10.7143,NO,0.0,10.7143,0.0,NO,R99
05404YRKCP450WE,334414,71556,0.5,Pounds,0.0118,NO,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,NO,0.0,0.0118,0.0,NO,R14
05851VRMNT79MAI,333515,71556,4000.0,Pounds,17.6211,NO,0.0,21.1301,25.8065,41.2766,71.4964,86.9565,YES,20.1465,37.3358,0.5859,NO,R11
89706DRBND3200A,336399,7440360,140000.0,Pounds,99.9907,NO,99.9882,99.9925,99.9943,99.9954,99.9996,99.9964,NO,0.0029,99.9938,0.0,NO,R29
19709JHNSNRD170,335911,N420,14360522.0,Pounds,97.2944,NO,93.2775,97.3019,97.3095,99.9849,100.0,100.0,NO,2.6829,98.6363,0.0136,NO,R30
19709JHNSNRD170,335911,7440360,138073.0,Pounds,99.4576,NO,99.0535,99.4587,99.4597,99.7288,100.0,99.9978,NO,0.2701,99.6384,0.0026,NO,R30
37815MHLNCHWY11,336311,7440508,49000.0,Pounds,99.4096,NO,98.6979,99.451,99.4924,99.9531,100.0,99.9898,NO,0.5021,99.6849,0.0025,NO,R29
06001TCHNC205OL,325510,78933,63750.0,Pounds,77.5265,NO,57.1446,79.7142,81.9936,94.7606,100.0,99.6094,NO,15.0464,87.4185,0.0969,NO,R11
06489LGHTM270SP,332813,7697372,103891.0,Pounds,65.5224,NO,15.1322,65.6676,65.8129,99.3578,100.0,99.9452,NO,33.6902,80.1902,0.2091,NO,R99
89706DRBND3200A,336312,7439921,1200000.0,Pounds,99.9288,NO,99.832,99.9307,99.9325,99.9965,100.0,99.9996,NO,0.0658,99.9593,0.0003,NO,R29
07712NGLMR1400R,325510,1330207,0.5,Pounds,0.1536,NO,0.0,0.1747,0.1996,0.7443,1.5989,3.2258,YES,0.5697,0.7739,1.334,YES,R99
07657RDGPR525OR,326199,108101,13664.0,Pounds,32.7957,NO,28.6464,41.0942,49.3927,49.3927,61.8405,49.3927,NO,8.2985,43.8604,0.1784,NO,R11
39083CPHCN600GE,321114,N090,0.5,Pounds,0.9709,NO,0.9709,0.9709,0.9709,0.9709,0.9709,0.9709,NO,0.0,0.9709,0.0,NO,R99
39083CPHCN600GE,321114,N100,0.5,Pounds,1.2987,NO,1.2987,1.2987,1.2987,1.2987,1.2987,1.2987,NO,0.0,1.2987,0.0,NO,R99
27874CRLNWEAST1,321114,N020,8.0,Pounds,7.4074,NO,7.4074,7.4074,7.4074,7.4074,7.4074,7.4074,NO,0.0,7.4074,0.0,NO,R99
95678NCLCT7501F,334413,78933,11000.0,Pounds,13.0564,NO,0.0,13.6493,14.2857,66.975,100.0,97.7778,NO,53.3257,42.2631,0.7561,NO,R99
40701MRCNGRFD3A,511191,127184,0.5,Pounds,0.0037,NO,0.0,0.0045,0.0055,0.0141,0.0287,0.0384,YES,0.0097,0.0121,0.9582,NO,R11
