CHEMICAL_ID_NUMBER,STRIPPED_CHEMICAL_ID_NUMBER,Nat_Agg_PPV_2015,Nat_Agg_PPV_2014,Nat_Agg_PPV_2013,Nat_Agg_PPV_2012
32210-23-4,32210234,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
32329-20-7,32329207,Withheld,Withheld,Withheld,Withheld
3234-28-4,3234284,"< 25,000 lb","< 25,000 lb","25,000 - 100,000 lb","< 25,000 lb"
3234-84-2,3234842,"< 25,000 lb","25,000 - 100,000 lb","< 25,000 lb","< 25,000 lb"
3234-85-3,3234853,Withheld,Withheld,Withheld,Withheld
32360-05-7,32360057,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
32388-55-9,32388559,"100,000 - 500,000 lb","500,000 - 1,000,000 lb","100,000 - 500,000 lb","500,000 - 1,000,000 lb"
32422-02-9,32422029,Withheld,Withheld,Withheld,Withheld
32426-11-2,32426112,"100,000 - 500,000 lb","500,000 - 1,000,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
32509-66-3,32509663,Withheld,Withheld,Withheld,Withheld
32510-27-3,32510273,"< 25,000 lb","25,000 - 100,000 lb","< 25,000 lb","< 25,000 lb"
3251-23-8,3251238,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
32539-16-5,32539165,Withheld,Withheld,Withheld,Withheld
32539-83-6,32539836,Withheld,Withheld,Withheld,Withheld
32588-54-8,32588548,Withheld,Withheld,Withheld,Withheld
32588-76-4,32588764,Withheld,Withheld,Withheld,Withheld
3260-88-6,3260886,"1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
3268-49-3,3268493,"500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb","500,000,000 - 750,000,000 lb"
32685-17-9,32685179,Withheld,Withheld,Withheld,Withheld
32687-78-8,32687788,"100,000 - 500,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
32761-35-6,32761356,Withheld,Withheld,Withheld,Withheld
32768-54-0,32768540,"< 25,000 lb","< 25,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
3277-26-7,3277267,"1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
3278-22-6,3278226,Withheld,Withheld,Withheld,Withheld
3278-89-5,3278895,Withheld,Withheld,Withheld,Withheld
