SRS INTERNAL TRACKING NUMBER,FOR WHAT IS TRANSFERRED,TIME
143297,Other Disposal,7
143297,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",3
143297,Other treatment that does not include on-site disposal,2
143669,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),2
143669,Incineration; thermal destruction other than use as a fuel,8
143669,Stabilization or chemical fixation prior to disposal at another site,1
148098,Absorption,6
148098,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),9
148098,Incineration; thermal destruction other than use as a fuel,57
148098,Landfill (with prior treatment and/or stabilization),12
148098,Other treatment that does not include on-site disposal,1
149476,Absorption,57
149476,Deepwell or underground injection (with or without treatment),2
149476,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),75
149476,Incineration; thermal destruction other than use as a fuel,493
149476,Land treatment or application (with any prior treatment and/or stabilization),4
149476,Landfill (with prior treatment and/or stabilization),1338
149476,Macro-encapsulation prior to disposal at another site,295
149476,"Metals recovery including retorting, smelting, chemical, etc.",887
149476,Other Disposal,366
149476,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",240
149476,Other treatment that does not include on-site disposal,45
149476,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),21
149583,Absorption,3580
149583,Adsorption,24
149583,Air or steam stripping,6
149583,Biological treatment,190
149583,Chemical oxidation,64
149583,Chemical reduction with or without precipitation,249
149583,Chemical treatment (reduction / destruction / oxidation /precipitation),505
149583,"Combination of chemical, biological and/or physical treatment",55
149583,Cyanide destruction with or without precipitation,12
149583,Deepwell or underground injection (with or without treatment),1262
149583,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),449
149583,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),625
149583,Evaporation,24
149583,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),3646
149583,Incineration; thermal destruction other than use as a fuel,7352
149583,Land treatment or application (with any prior treatment and/or stabilization),886
149583,Landfill (with prior treatment and/or stabilization),21178
149583,Macro-encapsulation prior to disposal at another site,9601
149583,"Metals recovery including retorting, smelting, chemical, etc.",30567
149583,Neutralization only,428
149583,Other Disposal,9498
149583,Other chemical precipitation with or without pre-treatment,1149
149583,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",12490
149583,Other treatment that does not include on-site disposal,1755
149583,Phase separation,178
149583,Physical treatment only (adsorption / absorption / separation /stripping / dewatering),61
149583,Settling or clarification,38
149583,Sludge treatment and/or dewatering,126
149583,Solvents recovery,379
149583,Stabilization or chemical fixation prior to disposal at another site,8157
149583,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),8465
149583,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),190
149583,Wet air oxidation,2
149625,Absorption,1839
149625,Deepwell or underground injection (with or without treatment),173
149625,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),21
149625,Incineration; thermal destruction other than use as a fuel,279
149625,Land treatment or application (with any prior treatment and/or stabilization),66
149625,Landfill (with prior treatment and/or stabilization),7713
149625,Macro-encapsulation prior to disposal at another site,2451
149625,"Metals recovery including retorting, smelting, chemical, etc.",10289
149625,Other Disposal,1830
149625,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",1719
149625,Other treatment that does not include on-site disposal,222
149625,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),41
149633,Absorption,195
149633,Adsorption,6
149633,Air or steam stripping,3
149633,Biological treatment,80
149633,Chemical oxidation,55
149633,Chemical reduction with or without precipitation,71
149633,Chemical treatment (reduction / destruction / oxidation /precipitation),98
149633,"Combination of chemical, biological and/or physical treatment",54
149633,Cyanide destruction with or without precipitation,4
149633,Deepwell or underground injection (with or without treatment),88
149633,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),66
149633,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),112
149633,Evaporation,5
149633,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),717
149633,Incineration; thermal destruction other than use as a fuel,3955
149633,Land treatment or application (with any prior treatment and/or stabilization),194
149633,Landfill (with prior treatment and/or stabilization),3489
149633,Macro-encapsulation prior to disposal at another site,1017
149633,"Metals recovery including retorting, smelting, chemical, etc.",14230
149633,Neutralization only,134
149633,Other Disposal,1328
149633,Other chemical precipitation with or without pre-treatment,205
149633,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",1431
149633,Other treatment that does not include on-site disposal,700
149633,Phase separation,22
149633,Physical treatment only (adsorption / absorption / separation /stripping / dewatering),18
149633,Settling or clarification,3
149633,Sludge treatment and/or dewatering,18
149633,Solvents recovery,92
149633,Stabilization or chemical fixation prior to disposal at another site,1430
149633,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),974
149633,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),16
149633,Wet air oxidation,1
149674,Absorption,3321
149674,Deepwell or underground injection (with or without treatment),303
149674,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),81
149674,Incineration; thermal destruction other than use as a fuel,671
149674,Land treatment or application (with any prior treatment and/or stabilization),165
149674,Landfill (with prior treatment and/or stabilization),11744
149674,Macro-encapsulation prior to disposal at another site,5403
149674,"Metals recovery including retorting, smelting, chemical, etc.",16104
149674,Other Disposal,3343
149674,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",2560
149674,Other treatment that does not include on-site disposal,517
149674,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),72
149849,Absorption,70
149849,Adsorption,10
149849,Air or steam stripping,1
149849,Biological treatment,86
149849,Chemical oxidation,17
149849,Chemical reduction with or without precipitation,148
149849,Chemical treatment (reduction / destruction / oxidation /precipitation),249
149849,"Combination of chemical, biological and/or physical treatment",30
149849,Cyanide destruction with or without precipitation,27
149849,Deepwell or underground injection (with or without treatment),99
149849,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),267
149849,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),92
149849,Evaporation,11
149849,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),827
149849,Incineration; thermal destruction other than use as a fuel,3407
149849,Land treatment or application (with any prior treatment and/or stabilization),68
149849,Landfill (with prior treatment and/or stabilization),1127
149849,Macro-encapsulation prior to disposal at another site,145
149849,"Metals recovery including retorting, smelting, chemical, etc.",6895
149849,Neutralization only,211
149849,Other Disposal,187
149849,Other chemical precipitation with or without pre-treatment,581
149849,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",225
149849,Other treatment that does not include on-site disposal,443
149849,Phase separation,20
149849,Physical treatment only (adsorption / absorption / separation /stripping / dewatering),16
149849,Settling or clarification,3
149849,Sludge treatment and/or dewatering,25
149849,Solvents recovery,124
149849,Stabilization or chemical fixation prior to disposal at another site,707
149849,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),398
149849,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),3
149849,Wet air oxidation,1
149898,Absorption,1
149898,Deepwell or underground injection (with or without treatment),4
149898,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),2
149898,Incineration; thermal destruction other than use as a fuel,3
149898,Landfill (with prior treatment and/or stabilization),35
149898,Macro-encapsulation prior to disposal at another site,8
149898,"Metals recovery including retorting, smelting, chemical, etc.",9
149898,Other Disposal,41
149898,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",4
149963,Absorption,51
149963,Deepwell or underground injection (with or without treatment),15
149963,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),30
149963,Incineration; thermal destruction other than use as a fuel,104
149963,Land treatment or application (with any prior treatment and/or stabilization),50
149963,Landfill (with prior treatment and/or stabilization),808
149963,Macro-encapsulation prior to disposal at another site,534
149963,"Metals recovery including retorting, smelting, chemical, etc.",1215
149963,Other Disposal,213
149963,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",113
149963,Other treatment that does not include on-site disposal,24
149963,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),4
149989,Absorption,29
149989,Adsorption,10
149989,Air or steam stripping,2
149989,Biological treatment,68
149989,Chemical oxidation,44
149989,Chemical reduction with or without precipitation,55
149989,Chemical treatment (reduction / destruction / oxidation /precipitation),171
149989,"Combination of chemical, biological and/or physical treatment",20
149989,Cyanide destruction with or without precipitation,6
149989,Deepwell or underground injection (with or without treatment),78
149989,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),81
149989,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),115
149989,Evaporation,8
149989,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),550
149989,Incineration; thermal destruction other than use as a fuel,2058
149989,Land treatment or application (with any prior treatment and/or stabilization),68
149989,Landfill (with prior treatment and/or stabilization),1957
149989,Macro-encapsulation prior to disposal at another site,410
149989,"Metals recovery including retorting, smelting, chemical, etc.",612
149989,Neutralization only,149
149989,Other Disposal,424
149989,Other chemical precipitation with or without pre-treatment,289
149989,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",245
149989,Other treatment that does not include on-site disposal,245
149989,Phase separation,9
149989,Physical treatment only (adsorption / absorption / separation /stripping / dewatering),16
149989,Sludge treatment and/or dewatering,10
149989,Solvents recovery,53
149989,Stabilization or chemical fixation prior to disposal at another site,603
149989,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),239
149989,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),1
149997,Absorption,84
149997,Adsorption,2
149997,Air or steam stripping,1
149997,Biological treatment,38
149997,Chemical oxidation,24
149997,Chemical reduction with or without precipitation,82
149997,Chemical treatment (reduction / destruction / oxidation /precipitation),109
149997,"Combination of chemical, biological and/or physical treatment",22
149997,Cyanide destruction with or without precipitation,2
149997,Deepwell or underground injection (with or without treatment),47
149997,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),48
149997,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),217
149997,Evaporation,1
149997,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),1496
149997,Incineration; thermal destruction other than use as a fuel,2606
149997,Land treatment or application (with any prior treatment and/or stabilization),72
149997,Landfill (with prior treatment and/or stabilization),1570
149997,Macro-encapsulation prior to disposal at another site,382
149997,"Metals recovery including retorting, smelting, chemical, etc.",214
149997,Neutralization only,114
149997,Other Disposal,514
149997,Other chemical precipitation with or without pre-treatment,155
149997,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",268
149997,Other treatment that does not include on-site disposal,286
149997,Phase separation,12
149997,Physical treatment only (adsorption / absorption / separation /stripping / dewatering),2
149997,Sludge treatment and/or dewatering,5
149997,Solvents recovery,100
149997,Stabilization or chemical fixation prior to disposal at another site,877
149997,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),365
150003,Absorption,11
150003,Chemical reduction with or without precipitation,2
150003,Chemical treatment (reduction / destruction / oxidation /precipitation),1
150003,"Combination of chemical, biological and/or physical treatment",2
150003,Deepwell or underground injection (with or without treatment),1
150003,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
150003,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1
150003,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),6
150003,Incineration; thermal destruction other than use as a fuel,111
150003,Landfill (with prior treatment and/or stabilization),82
150003,Macro-encapsulation prior to disposal at another site,50
150003,"Metals recovery including retorting, smelting, chemical, etc.",116
150003,Neutralization only,2
150003,Other Disposal,30
150003,Other chemical precipitation with or without pre-treatment,2
150003,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",11
150003,Other treatment that does not include on-site disposal,6
150003,Phase separation,2
150003,Stabilization or chemical fixation prior to disposal at another site,11
150003,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),3
150029,Absorption,62
150029,Adsorption,8
150029,Air or steam stripping,2
150029,Biological treatment,76
150029,Chemical oxidation,25
150029,Chemical reduction with or without precipitation,98
150029,Chemical treatment (reduction / destruction / oxidation /precipitation),170
150029,"Combination of chemical, biological and/or physical treatment",19
150029,Cyanide destruction with or without precipitation,24
150029,Deepwell or underground injection (with or without treatment),108
150029,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),107
150029,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),120
150029,Evaporation,7
150029,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),1090
150029,Incineration; thermal destruction other than use as a fuel,1733
150029,Land treatment or application (with any prior treatment and/or stabilization),199
150029,Landfill (with prior treatment and/or stabilization),2216
150029,Macro-encapsulation prior to disposal at another site,366
150029,"Metals recovery including retorting, smelting, chemical, etc.",1468
150029,Neutralization only,124
150029,Other Disposal,286
150029,Other chemical precipitation with or without pre-treatment,342
150029,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",395
150029,Other treatment that does not include on-site disposal,352
150029,Phase separation,25
150029,Physical treatment only (adsorption / absorption / separation /stripping / dewatering),27
150029,Settling or clarification,7
150029,Sludge treatment and/or dewatering,39
150029,Solvents recovery,238
150029,Stabilization or chemical fixation prior to disposal at another site,1727
150029,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),676
150060,Absorption,3249
150060,Adsorption,58
150060,Air or steam stripping,8
150060,Biological treatment,295
150060,Chemical oxidation,107
150060,Chemical reduction with or without precipitation,1905
150060,Chemical treatment (reduction / destruction / oxidation /precipitation),1907
150060,"Combination of chemical, biological and/or physical treatment",97
150060,Cyanide destruction with or without precipitation,40
150060,Deepwell or underground injection (with or without treatment),1125
150060,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),881
150060,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),617
150060,Evaporation,63
150060,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),3371
150060,Incineration; thermal destruction other than use as a fuel,8576
150060,Land treatment or application (with any prior treatment and/or stabilization),625
150060,Landfill (with prior treatment and/or stabilization),17441
150060,Macro-encapsulation prior to disposal at another site,5629
150060,"Metals recovery including retorting, smelting, chemical, etc.",14210
150060,Neutralization only,1182
150060,Other Disposal,3790
150060,Other chemical precipitation with or without pre-treatment,2575
150060,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",2865
150060,Other treatment that does not include on-site disposal,1988
150060,Phase separation,58
150060,Physical treatment only (adsorption / absorption / separation /stripping / dewatering),36
150060,Settling or clarification,24
150060,Sludge treatment and/or dewatering,101
150060,Solvents recovery,257
150060,Stabilization or chemical fixation prior to disposal at another site,4959
150060,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),2537
150060,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),94
150060,Wet air oxidation,4
150078,Absorption,506
150078,Deepwell or underground injection (with or without treatment),23
150078,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),7
150078,Incineration; thermal destruction other than use as a fuel,113
150078,Land treatment or application (with any prior treatment and/or stabilization),29
150078,Landfill (with prior treatment and/or stabilization),1712
150078,Macro-encapsulation prior to disposal at another site,816
150078,"Metals recovery including retorting, smelting, chemical, etc.",3057
150078,Other Disposal,385
150078,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",507
150078,Other treatment that does not include on-site disposal,68
150078,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),4
150086,Absorption,4572
150086,Deepwell or underground injection (with or without treatment),160
150086,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),99
150086,Incineration; thermal destruction other than use as a fuel,1105
150086,Land treatment or application (with any prior treatment and/or stabilization),198
150086,Landfill (with prior treatment and/or stabilization),12159
150086,Macro-encapsulation prior to disposal at another site,6603
150086,"Metals recovery including retorting, smelting, chemical, etc.",23338
150086,Other Disposal,4638
150086,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",3493
150086,Other treatment that does not include on-site disposal,784
150086,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),49
150193,Absorption,28
150193,Deepwell or underground injection (with or without treatment),5
150193,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1
150193,Incineration; thermal destruction other than use as a fuel,14
150193,Land treatment or application (with any prior treatment and/or stabilization),8
150193,Landfill (with prior treatment and/or stabilization),319
150193,Macro-encapsulation prior to disposal at another site,74
150193,"Metals recovery including retorting, smelting, chemical, etc.",181
150193,Other Disposal,94
150193,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",110
150193,Other treatment that does not include on-site disposal,2
150193,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),2
150235,Absorption,204
150235,Deepwell or underground injection (with or without treatment),39
150235,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),185
150235,Incineration; thermal destruction other than use as a fuel,679
150235,Land treatment or application (with any prior treatment and/or stabilization),38
150235,Landfill (with prior treatment and/or stabilization),1521
150235,Macro-encapsulation prior to disposal at another site,603
150235,"Metals recovery including retorting, smelting, chemical, etc.",1375
150235,Other Disposal,554
150235,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",259
150235,Other treatment that does not include on-site disposal,213
150235,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),13
150417,Deepwell or underground injection (with or without treatment),1
150417,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
150417,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),1
150417,Incineration; thermal destruction other than use as a fuel,33
150417,Landfill (with prior treatment and/or stabilization),14
150417,Stabilization or chemical fixation prior to disposal at another site,3
150458,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),2
150458,Incineration; thermal destruction other than use as a fuel,10
150458,Other treatment that does not include on-site disposal,1
150821,Chemical reduction with or without precipitation,1
150821,Deepwell or underground injection (with or without treatment),1
150821,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
150821,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),20
150821,Incineration; thermal destruction other than use as a fuel,138
150821,Landfill (with prior treatment and/or stabilization),10
150821,Neutralization only,1
150821,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",1
150821,Stabilization or chemical fixation prior to disposal at another site,1
150821,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),14
151449,Absorption,1
151449,Deepwell or underground injection (with or without treatment),14
151449,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),34
151449,Incineration; thermal destruction other than use as a fuel,361
151449,Landfill (with prior treatment and/or stabilization),77
151449,Macro-encapsulation prior to disposal at another site,18
151449,"Metals recovery including retorting, smelting, chemical, etc.",1
151449,Other Disposal,34
151449,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",24
151449,Other treatment that does not include on-site disposal,31
152058,Absorption,597
152058,Deepwell or underground injection (with or without treatment),38
152058,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),128
152058,Incineration; thermal destruction other than use as a fuel,391
152058,Land treatment or application (with any prior treatment and/or stabilization),21
152058,Landfill (with prior treatment and/or stabilization),718
152058,Macro-encapsulation prior to disposal at another site,196
152058,"Metals recovery including retorting, smelting, chemical, etc.",4
152058,Other Disposal,312
152058,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",91
152058,Other treatment that does not include on-site disposal,137
152058,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),18
152132,Absorption,15
152132,Deepwell or underground injection (with or without treatment),7
152132,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),7
152132,Incineration; thermal destruction other than use as a fuel,38
152132,Landfill (with prior treatment and/or stabilization),20
152132,Macro-encapsulation prior to disposal at another site,4
152132,"Metals recovery including retorting, smelting, chemical, etc.",1
152132,Other Disposal,9
152132,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",2
152132,Other treatment that does not include on-site disposal,15
152231,Absorption,1726
152231,Deepwell or underground injection (with or without treatment),486
152231,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),115
152231,Incineration; thermal destruction other than use as a fuel,1141
152231,Land treatment or application (with any prior treatment and/or stabilization),1
152231,Landfill (with prior treatment and/or stabilization),614
152231,Macro-encapsulation prior to disposal at another site,428
152231,"Metals recovery including retorting, smelting, chemical, etc.",170
152231,Other Disposal,367
152231,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",542
152231,Other treatment that does not include on-site disposal,837
152363,Absorption,916
152363,Deepwell or underground injection (with or without treatment),148
152363,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),62
152363,Incineration; thermal destruction other than use as a fuel,450
152363,Land treatment or application (with any prior treatment and/or stabilization),5
152363,Landfill (with prior treatment and/or stabilization),536
152363,Macro-encapsulation prior to disposal at another site,421
152363,"Metals recovery including retorting, smelting, chemical, etc.",15
152363,Other Disposal,218
152363,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",221
152363,Other treatment that does not include on-site disposal,495
152371,Absorption,2006
152371,Adsorption,1
152371,Biological treatment,12
152371,Chemical oxidation,5
152371,Chemical reduction with or without precipitation,31
152371,Chemical treatment (reduction / destruction / oxidation /precipitation),41
152371,"Combination of chemical, biological and/or physical treatment",9
152371,Deepwell or underground injection (with or without treatment),328
152371,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),38
152371,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),69
152371,Evaporation,1
152371,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),48
152371,Incineration; thermal destruction other than use as a fuel,2236
152371,Land treatment or application (with any prior treatment and/or stabilization),37
152371,Landfill (with prior treatment and/or stabilization),869
152371,Macro-encapsulation prior to disposal at another site,455
152371,"Metals recovery including retorting, smelting, chemical, etc.",27
152371,Neutralization only,190
152371,Other Disposal,441
152371,Other chemical precipitation with or without pre-treatment,71
152371,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",263
152371,Other treatment that does not include on-site disposal,1056
152371,Solvents recovery,2
152371,Stabilization or chemical fixation prior to disposal at another site,92
152371,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),38
152371,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),1
152389,Absorption,2868
152389,Deepwell or underground injection (with or without treatment),680
152389,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),964
152389,Incineration; thermal destruction other than use as a fuel,3674
152389,Land treatment or application (with any prior treatment and/or stabilization),202
152389,Landfill (with prior treatment and/or stabilization),2463
152389,Macro-encapsulation prior to disposal at another site,738
152389,"Metals recovery including retorting, smelting, chemical, etc.",383
152389,Other Disposal,949
152389,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",2139
152389,Other treatment that does not include on-site disposal,803
152389,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),7
152405,Absorption,2223
152405,Deepwell or underground injection (with or without treatment),417
152405,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),100
152405,Incineration; thermal destruction other than use as a fuel,872
152405,Land treatment or application (with any prior treatment and/or stabilization),20
152405,Landfill (with prior treatment and/or stabilization),993
152405,Macro-encapsulation prior to disposal at another site,782
152405,"Metals recovery including retorting, smelting, chemical, etc.",151
152405,Other Disposal,549
152405,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",672
152405,Other treatment that does not include on-site disposal,1368
152405,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),5
152678,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),2
152678,Incineration; thermal destruction other than use as a fuel,12
152678,Other treatment that does not include on-site disposal,4
152686,Absorption,5193
152686,Deepwell or underground injection (with or without treatment),725
152686,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),199
152686,Incineration; thermal destruction other than use as a fuel,1846
152686,Land treatment or application (with any prior treatment and/or stabilization),54
152686,Landfill (with prior treatment and/or stabilization),1378
152686,Macro-encapsulation prior to disposal at another site,1434
152686,"Metals recovery including retorting, smelting, chemical, etc.",317
152686,Other Disposal,1273
152686,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",1447
152686,Other treatment that does not include on-site disposal,2596
152686,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),9
153072,Absorption,16
153072,Deepwell or underground injection (with or without treatment),3
153072,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),10
153072,Incineration; thermal destruction other than use as a fuel,57
153072,Landfill (with prior treatment and/or stabilization),6
153072,Macro-encapsulation prior to disposal at another site,1
153072,Other Disposal,14
153072,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",16
153072,Other treatment that does not include on-site disposal,5
153320,Absorption,39
153320,Deepwell or underground injection (with or without treatment),12
153320,Incineration; thermal destruction other than use as a fuel,7
153320,Landfill (with prior treatment and/or stabilization),59
153320,Macro-encapsulation prior to disposal at another site,5
153320,Other Disposal,9
153320,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",2
153320,Other treatment that does not include on-site disposal,4
153387,Deepwell or underground injection (with or without treatment),1
153387,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),2
153387,Landfill (with prior treatment and/or stabilization),3
153387,Other treatment that does not include on-site disposal,1
153866,Chemical reduction with or without precipitation,2
153866,Chemical treatment (reduction / destruction / oxidation /precipitation),2
153866,"Combination of chemical, biological and/or physical treatment",1
153866,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
153866,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1
153866,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),6
153866,Incineration; thermal destruction other than use as a fuel,39
153866,Land treatment or application (with any prior treatment and/or stabilization),2
153866,Landfill (with prior treatment and/or stabilization),42
153866,Neutralization only,2
153866,Other chemical precipitation with or without pre-treatment,5
153866,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",1
153866,Other treatment that does not include on-site disposal,4
153866,Stabilization or chemical fixation prior to disposal at another site,7
153866,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),5
154286,Absorption,17
154286,Chemical reduction with or without precipitation,10
154286,Chemical treatment (reduction / destruction / oxidation /precipitation),19
154286,Deepwell or underground injection (with or without treatment),4
154286,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),32
154286,Incineration; thermal destruction other than use as a fuel,22
154286,Landfill (with prior treatment and/or stabilization),14
154286,Macro-encapsulation prior to disposal at another site,3
154286,"Metals recovery including retorting, smelting, chemical, etc.",1
154286,Neutralization only,12
154286,Other Disposal,7
154286,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",7
154286,Other treatment that does not include on-site disposal,13
154310,Absorption,23
154310,Adsorption,6
154310,Biological treatment,51
154310,Chemical oxidation,12
154310,Chemical reduction with or without precipitation,29
154310,Chemical treatment (reduction / destruction / oxidation /precipitation),126
154310,"Combination of chemical, biological and/or physical treatment",18
154310,Cyanide destruction with or without precipitation,3
154310,Deepwell or underground injection (with or without treatment),66
154310,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),57
154310,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),79
154310,Evaporation,7
