TRIFID,TRI_CHEM_ID,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
77706BTZLB10650,79107,1.03,,,,,1999
15902SCMMT101BR,7439965,0.99,,,,,1999
19512CBTCRCOUNT,7664417,0.86,,,,,1999
15666SNYLCOLDRT,7647010,1.2,,,,,1999
45885THGDY1115S,N583,1.09,,,,,1999
31521BRNSW14W9T,1319773,0.99,,,,,1999
15225SHLND2650N,107211,1.09,,,,,1999
01536WYMNG244WO,7440473,1.51,,,,,1999
87301GNTRFROUTE,N511,1.04,,,,,1999
29536WXCRPSTATE,1330207,0.0,,,,,1999
54106TGMPR307NC,7664417,1.01,,,,,1999
48215CHRYL2101C,108883,1.44,,,,,1999
48217MRTHN1300S,1313275,1.01,,,,,1999
59323MNTNPWILLO,N010,0.98,,,,,1999
44142FRDMT5600H,107211,0.93,,,,,1999
48217MRTHN1300S,108952,1.01,,,,,1999
60101FNSTL21NCH,N100,0.64,,,,,1999
68025MGNSFSOUTH,7440360,0.99,,,,,1999
77592NNCRB2800L,71363,1.12,,,,,1999
23860LLDSGPOBOX,100414,1.01,,,,,1999
35601MNSNTCOURT,64675,1.0,,,,,1999
88065PHLPSHWY90,N096,1.81,,,,,1999
90670STHRN8851D,7782505,1.0,,,,,1999
30913MRRYBARTHE,N090,0.93,,,,,1999
43130LNCST212PI,N982,1.12,,,,,1999
77571LNDGS11603,N982,0.91,,,,,1999
37862CTVDTAIRPO,7440020,1.1,,,,,1999
61832CHMCSRR5LY,80159,1.0,,,,,1999
32462FLRDPSOFUS,7664939,0.36,,,,,1999
46074CNTRY17710,108883,1.29,,,,,1999
43113PPGNDPITTS,80626,1.09,,,,,1999
48441DTRTD755NH,7647010,1.02,,,,,1999
29044STHCR142WA,N982,0.38,,,,,1999
37660VNWTR302RI,78933,0.0,,,,,1999
38462BSTNNSWANA,N511,1.01,,,,,1999
70734RBCNN9156H,7697372,0.23,,,,,1999
71220NTRNT705CO,75070,1.02,,,,,1999
29829GRNTV1MARS,7664939,1.12,,,,,1999
77044CHMPN11611,N450,0.94,,,,,1999
77640CLRKR1801S,98828,0.0,,,,,1999
77592NNCRB2800L,141322,1.12,,,,,1999
46371WRKRF4744E,7440508,0.0,,,,,1999
80907WSTRN4607F,7440473,0.9,,,,,1999
70669LNCRP960I1,7782505,0.0,,,,,1999
76106BHRFM5020A,75092,1.06,,,,,1999
61832CHMCSRR5LY,N090,1.0,,,,,1999
53051ZNTHSW156N,N100,1.1,,,,,1999
63021MLTPL250OL,N120,1.91,,,,,1999
46225SPRRL400WR,75092,1.04,,,,,1999
60638FDRLD6220S,7429905,1.0,,,,,1999
40006LSVLL487CO,7647010,1.02,,,,,1999
25430DLBNC105IN,N230,0.72,,,,,1999
65706WLCRP1450W,78933,1.19,,,,,1999
93308TXCRF2436F,100414,0.91,,,,,1999
46225SPRRL400WR,100425,1.0,,,,,1999
46225SPRRL400WR,91203,1.0,,,,,1999
49022NWPRD448MO,7440508,1.24,,,,,1999
59323MNTNPWILLO,N050,0.98,,,,,1999
44109MCGNR2910H,N090,0.86,,,,,1999
39073GNBNC250EL,N420,1.03,,,,,1999
02703CHMTC52GAR,67561,1.02,,,,,1999
38501STRNF1227E,N120,1.29,,,,,1999
70669VSTCHOLDSP,67663,1.01,,,,,1999
42101GNRLMI65US,872504,1.04,,,,,1999
26180DPNTWDUPON,68122,1.09,,,,,1999
47987MSTRG1200E,1330207,1.0,,,,,1999
67277BNGML3801S,N100,0.88,,,,,1999
13403MRDHS9570R,1634044,0.0,,,,,1999
70776CBGGYRIVER,108883,0.91,,,,,1999
72117SPRWDHWY16,67561,0.0,,,,,1999
38676DRXLCTUNIC,330552,4.9,,,,,1999
77704MBLCHGULFS,95636,1.06,,,,,1999
55071SHLND100WT,91203,0.94,,,,,1999
60608NTRPR2841S,95636,1.03,,,,,1999
55071SHLND100WT,N590,0.94,,,,,1999
10962PXRCR530RT,78933,0.59,,,,,1999
79703BNCHM4113W,67561,0.67,,,,,1999
45001HRCLS356TH,108316,0.49,,,,,1999
65625FSCNCSALEB,N090,1.03,,,,,1999
56071MNNST4077T,7439965,0.7,,,,,1999
94303RMCNV2081B,N100,100.0,,,,,1999
77541THDWCBUILD,50000,1.0,,,,,1999
16823GRYBC710OL,7439921,1.2,,,,,1999
69145CLNHR5MISO,75650,0.0,,,,,1999
69145CLNHR5MISO,8001589,0.0,,,,,1999
60616FDRTD1882S,108883,0.0,,,,,1999
79008PHLLPSTATE,100414,1.0,,,,,1999
68601BCTNDINDUS,N511,1.1,,,,,1999
37209GNRLD6100C,108883,0.89,,,,,1999
76705KCHPT2017K,1330207,0.91,,,,,1999
47250CLFTY1335C,N010,0.96,,,,,1999
72956THRMT3003I,N120,1.25,,,,,1999
46323HMMND23081,N010,1.15,,,,,1999
48184NSTRT35660,N100,1.05,,,,,1999
37921RHMND730DA,1330207,1.04,,,,,1999
14150NWYRK3937R,7439965,0.86,,,,,1999
17851HSKNS1ARCO,127184,1.09,,,,,1999
13403MRDHS9570R,108883,0.0,,,,,1999
14760MRCNL103SO,N450,1.03,,,,,1999
01949BSTKDBOSTO,872504,1.11,,,,,1999
55071SHLND100WT,100425,0.94,,,,,1999
48390FNSHT4205M,100414,0.89,,,,,1999
37209GNRLD6100C,79016,1.76,,,,,1999
97210QLNPR3800N,95636,1.1,,,,,1999
75633LSNPC1199C,75070,1.59,,,,,1999
42303HMPSH5529U,106990,0.9,,,,,1999
55904MRGLD406NB,N511,1.0,,,,,1999
23181CHSPK19THM,67561,1.25,,,,,1999
85283MTRLN7204S,107211,1.71,,,,,1999
48180MSTGC20219,107211,1.63,,,,,1999
43464WSTMN3956S,7664417,0.89,,,,,1999
46072SRDCT100S5,7440020,1.07,,,,,1999
15748MHMRC1750P,7647010,0.97,,,,,1999
15233THVLS2000W,98828,1.03,,,,,1999
31015DRXLCHIGHW,58899,0.79,,,,,1999
52361WLLMS100PA,7440473,1.1,,,,,1999
74063CHMLN9100W,67561,0.91,,,,,1999
78359CCDNTHWY36,127184,1.03,,,,,1999
13204TRDTC15SPE,100425,1.0,,,,,1999
76040DRCTF12625,108883,1.0,,,,,1999
63010SNCLR123MA,7439921,1.2,,,,,1999
46710TRNTM150GR,7664939,0.0,,,,,1999
