TRIFID,CAS NUMBER,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
60648KLYTB6666W,7439965,0.95,,,,,2008
48551GMCTRG3100,872504,0.48,,,,,2008
98682SHMRC4111N,7664393,1.32,,,,,2008
59019STLLW1209L,N420,0.89,,,,,2008
92054DTSCHMUNIC,7664417,0.8,,,,,2008
27105LCNCN2941I,7440508,1.1,,,,,2008
28054NRYLC214WE,101779,2.54,,,,,2008
97818BRDMN73334,N100,0.92,,,,,2008
97818BRDMN73334,7664393,0.92,,,,,2008
06340MRDHS443EA,91203,0.8,,,,,2008
29605SLVYD50AKR,101804,1.0,,,,,2008
17404GTPRD1128R,7440020,0.88,,,,,2008
90058GSSRL2618F,7440508,0.8,,,,,2008
43229LBRTC1050D,7440020,1.2,,,,,2008
70767XXNPR2230H,191242,0.96,,,,,2008
70767XXNPR2230H,N458,0.96,,,,,2008
48121FRDM43001M,108883,1.09,,,,,2008
90222DMNNK2000N,95636,0.98,,,,,2008
25314XXNCHSTAND,91203,0.94,,,,,2008
37405CHTTN817PI,191242,0.75,,,,,2008
76067TWSHK201GA,67561,0.83,,,,,2008
75160TJSRS105TE,N982,1.59,,,,,2008
75110LCTYR909S1,7439921,0.96,,,,,2008
75098CRLSL900HE,91203,0.98,,,,,2008
61938RRDNNROUTE,N100,0.94,,,,,2008
74107SNRFN1700S,N458,1.14,,,,,2008
30120TLNTCPEEPL,N420,0.82,,,,,2008
70518HNTNG3817M,7439965,1.04,,,,,2008
08829CSTML3WASH,7440473,1.15,,,,,2008
1701WSKYLN125ST,7440020,0.79,,,,,2008
36868MDCTDALABA,1319773,0.98,,,,,2008
48551GMCTRG3100,7440473,1.0,,,,,2008
84029SFTYK11600,N982,1.01,,,,,2008
65453LNFNW102PR,7440508,1.17,,,,,2008
92054DTSCHMUNIC,7439921,0.8,,,,,2008
46368CHRMD6640M,N090,1.02,,,,,2008
72132NTRGY1100W,7664393,0.95,,,,,2008
48150FRDMT36200,7632000,0.61,,,,,2008
39567FRSTC1001I,51285,0.57,,,,,2008
39567FRSTC1001I,98953,0.57,,,,,2008
44012FRDMT650MI,100414,0.7,,,,,2008
44012FRDMT650MI,107211,0.7,,,,,2008
84029SFTYK11600,N495,4.65,,,,,2008
44139VNTRL3200A,7439976,0.29,,,,,2008
17517MGSNC178MU,7439921,0.8,,,,,2008
58530MLTNR34012,91203,1.2,,,,,2008
45373BFGDRWACOS,N096,1.3,,,,,2008
41017HSCHM125MA,77781,1.0,,,,,2008
77879THTCHHIWAY,8001589,0.74,,,,,2008
74434MSKGG5501T,N458,0.96,,,,,2008
49201JCKSN2090M,71432,1.02,,,,,2008
31408KCHMT14FOU,191242,1.19,,,,,2008
84401GSCFN2738C,80057,0.95,,,,,2008
01605MRGNC40CRE,N590,0.7,,,,,2008
32771CRPPP31BRW,7440020,0.79,,,,,2008
16833WCKTT120CO,64186,1.0,,,,,2008
39441SSMLL334AV,7439965,0.84,,,,,2008
18848MSNTCMASON,N150,0.82,,,,,2008
48917GNRLM85REL,71363,0.94,,,,,2008
93042SNVYN311MA,107211,45.0,,,,,2008
32321PLCHPHIGHW,7439921,0.05,,,,,2008
94510XXNCS3400E,N090,0.9,,,,,2008
94577PRCSN414HE,7440020,0.97,,,,,2008
38109STVLL2574P,7664417,0.96,,,,,2008
38109STVLL2574P,91203,0.96,,,,,2008
43113DPNTCUSRT2,75456,0.99,,,,,2008
93042SNVYN311MA,7439921,0.6,,,,,2008
39701BLDRL7INDU,7440508,0.94,,,,,2008
08070DPWTR373NB,7664939,0.64,,,,,2008
18848MSNTCMASON,75070,0.75,,,,,2008
53022CSTMPN118W,100414,1.0,,,,,2008
48198GNRLMWILLO,7440508,0.73,,,,,2008
94553SHLLL3485P,7647010,0.98,,,,,2008
