Internal Tracking Number,Substance Name,CAS,Category,Last BRMentiona,ID
149641,Molybdenum,7439-98-7,Metals,2009,7439-98-7
149799,Rubidium,7440-17-7,Metals,2005,7440-17-7
149849,Silver,7440-22-4,Metals,2009,7440-22-4
149856,Sodium,7440-23-5,Metals,2009,7440-23-5
149898,Thallium,7440-28-0,Metals,2005,7440-28-0
149922,Tin,7440-31-5,Metals,2005,7440-31-5
149930,Titanium,7440-32-6,Metals,2009,7440-32-6
149963,Antimony,7440-36-0,Metals,2005,7440-36-0
149997,Barium,7440-39-3,Metals,2009,7440-39-3
150003,Beryllium,7440-41-7,Metals,2009,7440-41-7
150011,Boron,7440-42-8,Metals,2005,7440-42-8
150045,Cerium,7440-45-1,Metals,2005,7440-45-1
150078,Cobalt,7440-48-4,Metals,2007,7440-48-4
150193,Vanadium,7440-62-2,Metals,2005,7440-62-2
150227,Yttrium,7440-65-5,Metals,2005,7440-65-5
150268,Calcium,7440-70-2,Inorganics,2007,7440-70-2
153049,Phosphorus,7723-14-0,Inorganics,2007,7723-14-0
153122,Nitrogen,7727-37-9,Inorganics,2007,7727-37-9
154013,Quinine sulfate,7778-93-0,Other drugs,2005,7778-93-0
194464,Phosphate (total),14265-44-2,Inorganics,2005,14265-44-2
197186,Nitrate,14797-55-8,Inorganics,2009,14797-55-8
197194,Nitrite,14797-65-0,Inorganics,2009,14797-65-0
197202,"Nitrogen, organic",14798-03-9,Organics,2007,14798-03-9
200931,Ibuprofen,15687-27-1,Other drugs,2005,15687-27-1
206706,Fluoride,16984-48-8,Inorganics,2005,16984-48-8
218727,Digoxin,20830-75-5,Other drugs,2005,20830-75-5
221069,Ketoprofen,22071-15-4,Other drugs,2005,22071-15-4
227876,"tert-Butyl-4-hydroxy anisole, 3-",25013-16-5,Other drugs,2005,25013-16-5
230318,Nonylphenol,25154-52-3,Surfactants,2011,25154-52-3
