ID,NAT_AGG_PPV,YEAR,UNIT,Internal Tracking Number,Substance Name
101020,10000000,2012,lb,19877,"Phosphorous acid, triphenyl ester"
10102053,500000,2015,lb,167866,"Nitric acid, palladium(2+) salt (2:1)"
10102053,500000,2014,lb,167866,"Nitric acid, palladium(2+) salt (2:1)"
10102053,500000,2013,lb,167866,"Nitric acid, palladium(2+) salt (2:1)"
10102053,500000,2012,lb,167866,"Nitric acid, palladium(2+) salt (2:1)"
10102906,10000000,2015,lb,167981,"Diphosphoric acid, copper salt (1:?)"
10102906,1000000,2014,lb,167981,"Diphosphoric acid, copper salt (1:?)"
10102906,1000000,2013,lb,167981,"Diphosphoric acid, copper salt (1:?)"
10102906,1000000,2012,lb,167981,"Diphosphoric acid, copper salt (1:?)"
10108733,10000000,2015,lb,168104,"Nitric acid, cerium(3+) salt (3:1)"
10108733,10000000,2014,lb,168104,"Nitric acid, cerium(3+) salt (3:1)"
10108733,10000000,2013,lb,168104,"Nitric acid, cerium(3+) salt (3:1)"
10108733,1000000,2012,lb,168104,"Nitric acid, cerium(3+) salt (3:1)"
10112911,100000,2015,lb,168146,Mercury chloride (Hg2Cl2)
10112911,100000,2014,lb,168146,Mercury chloride (Hg2Cl2)
10112911,500000,2013,lb,168146,Mercury chloride (Hg2Cl2)
10112911,500000,2012,lb,168146,Mercury chloride (Hg2Cl2)
101144,10000000,2015,lb,19943,"Benzenamine, 4,4'-methylenebis[2-chloro-"
101144,10000000,2014,lb,19943,"Benzenamine, 4,4'-methylenebis[2-chloro-"
101144,10000000,2013,lb,19943,"Benzenamine, 4,4'-methylenebis[2-chloro-"
101144,10000000,2012,lb,19943,"Benzenamine, 4,4'-methylenebis[2-chloro-"
10114860,500000,2015,lb,168203,"Benzenesulfonic acid, 3,3'-[carbonylbis[imino(3-methoxy-4,1-phenylene)-2,1-diazenediyl]]bis-, sodium salt (1:2)"
10114860,500000,2014,lb,168203,"Benzenesulfonic acid, 3,3'-[carbonylbis[imino(3-methoxy-4,1-phenylene)-2,1-diazenediyl]]bis-, sodium salt (1:2)"
10114860,500000,2013,lb,168203,"Benzenesulfonic acid, 3,3'-[carbonylbis[imino(3-methoxy-4,1-phenylene)-2,1-diazenediyl]]bis-, sodium salt (1:2)"
10114860,500000,2012,lb,168203,"Benzenesulfonic acid, 3,3'-[carbonylbis[imino(3-methoxy-4,1-phenylene)-2,1-diazenediyl]]bis-, sodium salt (1:2)"
10117381,50000000,2015,lb,168245,"Sulfurous acid, potassium salt (1:2)"
10117381,50000000,2014,lb,168245,"Sulfurous acid, potassium salt (1:2)"
10117381,50000000,2013,lb,168245,"Sulfurous acid, potassium salt (1:2)"
10117381,50000000,2012,lb,168245,"Sulfurous acid, potassium salt (1:2)"
101202,25000,2015,lb,19976,"Urea, N-(4-chlorophenyl)-N'-(3,4-dichlorophenyl)-"
101202,25000,2014,lb,19976,"Urea, N-(4-chlorophenyl)-N'-(3,4-dichlorophenyl)-"
101202,100000,2013,lb,19976,"Urea, N-(4-chlorophenyl)-N'-(3,4-dichlorophenyl)-"
101202,100000,2012,lb,19976,"Urea, N-(4-chlorophenyl)-N'-(3,4-dichlorophenyl)-"
10124319,10000000,2015,lb,168286,"Phosphoric acid, ammonium salt (1:?)"
10124319,10000000,2014,lb,168286,"Phosphoric acid, ammonium salt (1:?)"
10124319,50000000,2013,lb,168286,"Phosphoric acid, ammonium salt (1:?)"
10124319,10000000,2012,lb,168286,"Phosphoric acid, ammonium salt (1:?)"
10124375,750000000,2015,lb,168302,"Nitric acid, calcium salt (2:1)"
10124375,750000000,2014,lb,168302,"Nitric acid, calcium salt (2:1)"
10124375,750000000,2013,lb,168302,"Nitric acid, calcium salt (2:1)"
10124375,750000000,2012,lb,168302,"Nitric acid, calcium salt (2:1)"
10124411,250000000,2015,lb,168310,"Thiosulfuric acid (H2S2O3), calcium salt (1:1)"
10124411,50000000,2014,lb,168310,"Thiosulfuric acid (H2S2O3), calcium salt (1:1)"
